Product_ID,Material_Name,CAS_Number,FEMA,Supplier,Original_Price,Currency,Price_Per_Gram
Hedione High Cis 10% in TEC [PerfumersWorld],Hedione High Cis 10% in TEC,24851-98-7,,PerfumersWorld,0.13,USD (per g),4.42
Helional [PerfumersWorld],Helional,1205-17-0,,PerfumersWorld,0.29,USD (per g),9.86
HELIOTROPAL [PerfumersWorld],HELIOTROPAL,120-57-0,,PerfumersWorld,0.39,USD (per g),13.26
Heliotrope Base - Heliotropin Replacement [PerfumersWorld],Heliotrope Base - Heliotropin Replacement,120-57-0,,PerfumersWorld,0.5,USD (per g),17.0
Helvetolide [PerfumersWorld],Helvetolide,141773-73-1,,PerfumersWorld,1.9,USD (per g),64.6
Heptan-1-ol (FEMA-2548) [MySkinRecipes],Heptan-1-ol (FEMA-2548),111-70-6,2548.0,MySkinRecipes,1050.0,THB (per kg),1.05
Heptanal (aldehyde C-7) [MySkinRecipes],Heptanal (aldehyde C-7),111-71-7,,MySkinRecipes,5550.0,THB (per kg),5.55
Heptyl Acetate (FEMA-2547) [MySkinRecipes],Heptyl Acetate (FEMA-2547),112-06-1,2547.0,MySkinRecipes,5950.0,THB (per kg),5.95
heptyl alcohol (FEMA-2548) [MySkinRecipes],heptyl alcohol (FEMA-2548),111-70-6,2548.0,MySkinRecipes,900.0,THB (per kg),0.9
Heptyl Butyrate [MySkinRecipes],Heptyl Butyrate,5870-93-9,,MySkinRecipes,9950.0,THB (per kg),9.95
Heptyl Butyrate (FEMA-2549) [MySkinRecipes],Heptyl Butyrate (FEMA-2549),5870-93-9,2549.0,MySkinRecipes,12950.0,THB (per kg),12.95
Herbal Pyran [MySkinRecipes],Herbal Pyran,18871-14-2,,MySkinRecipes,1530.0,THB (per kg),1.53
"Herbal Undecanone, Plicatone [MySkinRecipes]","Herbal Undecanone, Plicatone",41724-19-0,,MySkinRecipes,49950.0,THB (per kg),49.95
Hercolyn D [PerfumersWorld],Hercolyn D,8050-15-5,,PerfumersWorld,0.1,USD (per g),3.4
"Hercolyn D, Methyl Hydrogenated Rosinate [MySkinRecipes]","Hercolyn D, Methyl Hydrogenated Rosinate",8050-15-5,,MySkinRecipes,2650.0,THB (per kg),2.65
Hexadecanoic acid (FEMA-2832) [MySkinRecipes],Hexadecanoic acid (FEMA-2832),544-63-8,2832.0,MySkinRecipes,600.0,THB (per kg),0.6
Hexanal (aldehyde C-6) (FEMA-2557) [MySkinRecipes],Hexanal (aldehyde C-6) (FEMA-2557),66-25-1,2557.0,MySkinRecipes,2610.0,THB (per kg),2.61
Hexanlactone-gamma [PerfumersWorld],Hexanlactone-gamma,695-06-7,,PerfumersWorld,0.72,USD (per g),24.48
Hexanoic Acid [PerfumersWorld],Hexanoic Acid,142-62-1,,PerfumersWorld,0.1,USD (per g),3.4
"Hexanoic Acid, Caproic acid (FEMA-2559) [MySkinRecipes]","Hexanoic Acid, Caproic acid (FEMA-2559)",142-62-1,2559.0,MySkinRecipes,1250.0,THB (per kg),1.25
Hexanol [PerfumersWorld],Hexanol,111-27-3,,PerfumersWorld,0.2,USD (per g),6.8
"Hexanol, n-Hexyl alcohol, 1-Hexanol [MySkinRecipes]","Hexanol, n-Hexyl alcohol, 1-Hexanol",111-27-3,,MySkinRecipes,1950.0,THB (per kg),1.95
Hexenol Cis-3 (FEMA-2563) [MySkinRecipes],Hexenol Cis-3 (FEMA-2563),928-96-1,2563.0,MySkinRecipes,7950.0,THB (per kg),7.95
Hexenyl Cis-3 Acetate [MySkinRecipes],Hexenyl Cis-3 Acetate,3681-71-8,,MySkinRecipes,12950.0,THB (per kg),12.95
Hexenyl Salicylate Cis-3 [MySkinRecipes],Hexenyl Salicylate Cis-3,65405-77-8,,MySkinRecipes,13680.0,THB (per kg),13.68
Hexyl 2-methylbutanoate (FEMA-3499) [MySkinRecipes],Hexyl 2-methylbutanoate (FEMA-3499),10032-15-2,3499.0,MySkinRecipes,4500.0,THB (per kg),4.5
Hexyl 2-methylpropanoate (FEMA-3172) [MySkinRecipes],Hexyl 2-methylpropanoate (FEMA-3172),2349-07-7,3172.0,MySkinRecipes,1650.0,THB (per kg),1.65
Hexyl Acetate [PerfumersWorld],Hexyl Acetate,142-92-7,,PerfumersWorld,0.12,USD (per g),4.08
Hexyl Acetate (FEMA-2565) [MySkinRecipes],Hexyl Acetate (FEMA-2565),142-92-7,2565.0,MySkinRecipes,1580.0,THB (per kg),1.58
Hexyl benzoate (FEMA-3691) [MySkinRecipes],Hexyl benzoate (FEMA-3691),6789-88-4,3691.0,MySkinRecipes,1800.0,THB (per kg),1.8
Hexyl Butyrate (FEMA-2568) [MySkinRecipes],Hexyl Butyrate (FEMA-2568),2639-63-6,2568.0,MySkinRecipes,1980.0,THB (per kg),1.98
Hexyl Cinnamic Aldehyde (HCA) [PerfumersWorld],Hexyl Cinnamic Aldehyde (HCA),101-86-0,,PerfumersWorld,0.1,USD (per g),3.4
Hexyl Hexanoate (FEMA-2572) [MySkinRecipes],Hexyl Hexanoate (FEMA-2572),6378-65-0,2572.0,MySkinRecipes,1620.0,THB (per kg),1.62
Hexyl Isobutyrate (FEMA-3172) [MySkinRecipes],Hexyl Isobutyrate (FEMA-3172),2349-07-7,3172.0,MySkinRecipes,1800.0,THB (per kg),1.8
"Hexyl isovalerate ,hexyl 3-methylbutanoate (FEMA-3500) [MySkinRecipes]","Hexyl isovalerate ,hexyl 3-methylbutanoate (FEMA-3500)",10032-13-0,3500.0,MySkinRecipes,12950.0,THB (per kg),12.95
Hexyl Propionate (FEMA-2576) [MySkinRecipes],Hexyl Propionate (FEMA-2576),2445-76-3,2576.0,MySkinRecipes,1746.0,THB (per kg),1.746
Hexyl Salicylate [MySkinRecipes],Hexyl Salicylate,6259-76-3,,MySkinRecipes,1150.0,THB (per kg),1.15
Hexyl Salicylate [PerfumersWorld],Hexyl Salicylate,6259-76-3,,PerfumersWorld,0.09,USD (per g),3.06
"Homogeranyl Nitrile, Lemonile [MySkinRecipes]","Homogeranyl Nitrile, Lemonile",61792-11-8,,MySkinRecipes,4500.0,THB (per kg),4.5
Honeysuckle Oil [MySkinRecipes],Honeysuckle Oil,,,MySkinRecipes,24000.0,THB (per kg),24.0
Hyacinth Acetals [MySkinRecipes],Hyacinth Acetals,29895-73-6,,MySkinRecipes,17950.0,THB (per kg),17.95
Hyacinth Body [PerfumersWorld],Hyacinth Body,Mixture,,PerfumersWorld,0.6,USD (per g),20.4
Hyacinth Body 10% in DPG [PerfumersWorld],Hyacinth Body 10% in DPG,"2556-10-7|10.0
25265-71-8|90.0",,PerfumersWorld,0.11,USD (per g),3.74
"Hyacinth Butanal, Trifernal [MySkinRecipes]","Hyacinth Butanal, Trifernal",16251-77-7,,MySkinRecipes,9950.0,THB (per kg),9.95
Hydratopic Aldehyde (2-phenyl propionaldehyde) [MySkinRecipes],Hydratopic Aldehyde (2-phenyl propionaldehyde),93-53-8,,MySkinRecipes,34410.0,THB (per kg),34.41
Hydratropic Aldehyde [PerfumersWorld],Hydratropic Aldehyde,93-53-8,,PerfumersWorld,0.3,USD (per g),10.2
Hydroxycitronellal [PerfumersWorld],Hydroxycitronellal,107-75-5,,PerfumersWorld,0.23,USD (per g),7.82
Hydroxycitronellal (FEMA-2583) [MySkinRecipes],Hydroxycitronellal (FEMA-2583),107-75-5,2583.0,MySkinRecipes,2280.0,THB (per kg),2.28
Indisan [PerfumersWorld],Indisan,80748-58-9,,PerfumersWorld,0.12,USD (per g),4.08
